cocktail_id,cocktail_name,ingredient_id,ingredient_name,unit_quantity
r08mj,Mojito,45,Barcadi Oro,45
r08mj,Mojito,204,lime juice,22.5
r08mj,Mojito,34,castor sugar,30
r08mj,Mojito,248,mint,4
r08mj,Mojito,221,Soda water,30
r08mj,Mojito,229,Ice-cubed,100
r08mj,Mojito,233,lime wedge,4
r09zb,Zombie,45,Barcadi Oro,30
r09zb,Zombie,34,golden rum,30
r09zb,Zombie,35,dark rum,30
r09zb,Zombie,175,apricot brandy30,
r09zb,Zombie,208,pineapple juice,30
r09zb,Zombie,265,papaya juice,30
r09zb,Zombie,266,151-prrof rum,15
r09zb,Zombie,216,Grenadine syrup,7.5
r09zb,Zombie,229,Ice-cubed,100
r09zb,Zombie,249,orange slice,1
r10lit,Long Island Iced Tea,56,Sminorff Red,15
r10lit,Long Island Iced Tea,20,Gin,15
r10lit,Long Island Iced Tea,45,Barcadi Oro,15
r10lit,Long Island Iced Tea,11,Camino silver,15
r10lit,Long Island Iced Tea,153,triple sec,15
r10lit,Long Island Iced Tea,215,sugar syrup,7.5
r10lit,Long Island Iced Tea,206,lemon juice,30
r10lit,Long Island Iced Tea,220,coke,30
r10lit,Long Island Iced Tea,229,Ice-cubed,100
r10lit,Long Island Iced Tea,247,lemon slice,1
r11hc,Hurricane,45,Barcadi Oro,30
r11hc,Hurricane,206,lemon juice,15
r11hc,Hurricane,266,over proof rum,15
r11hc,Hurricane,209,passion juice,30
r11hc,Hurricane,215,Sugar syrup,7.5
r11hc,Hurricane,35,Captain Morgan dark,30
r11hc,Hurricane,229,Ice-cubed,100
r12rb,Rumble,35,Captain Morgan dark,15
r12rb,Rumble,190,khalua,22.5
r12rb,Rumble,204,lime juice,7.5
r12rb,Rumble,221,Soda water,30
r12rb,Rumble,229,ice-cubed,100
r12rb,Rumble,233,lime wedge,2









